city_rank,city_name,osm_type,osm_id,lat,lon,kind,leisure,sport,club,access,name,operator,tennis_courts_tag,surface,in_park,park_name,in_park,park_name
1,Greater London,way,4965225,51.4442755,-0.0820127,court,pitch,tennis,,,,,,,1,Dulwich Park,1,Dulwich Park
1,Greater London,way,5012638,51.4512459,-0.1084473,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,5012639,51.4509935,-0.1089826,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,5012640,51.4507313,-0.1085453,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,5015046,51.4545505,-0.0870548,sports_centre,sports_centre,tennis,,,North Dulwich Lawn Tennis Club,,,,0,,0,
1,Greater London,way,5021721,51.363008,-0.1600902,court,pitch,tennis,,,,,,tartan,1,Carshalton Park,1,Carshalton Park
1,Greater London,way,5035391,51.5729763,-0.3311647,court,pitch,tennis,,,Beckwith Courts,,,,0,,0,
1,Greater London,way,5035392,51.5725651,-0.330671,court,pitch,tennis,,,Beckwith Courts,,,,0,,0,
1,Greater London,way,5035441,51.5661879,-0.3360985,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,5052363,51.4358299,-0.2029745,court,pitch,tennis,,,,,,artificial_turf,1,Wimbledon Park,1,Wimbledon Park
1,Greater London,way,5052369,51.4363764,-0.2037812,court,pitch,tennis,,,,,,artificial_turf,1,Wimbledon Park,1,Wimbledon Park
1,Greater London,way,5081765,51.4811746,-0.263241,sports_centre,sports_centre,tennis,sport,,Chiswick Tennis Club,,,,0,,0,
1,Greater London,way,5111753,51.4575897,-0.0848245,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,5211987,51.5265608,-0.3410423,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,5217116,51.4668132,-0.3319924,court,pitch,tennis,,,,,,,1,Redlees Park,1,Redlees Park
1,Greater London,way,5318791,51.4881145,-0.1588221,court,pitch,tennis,,,,,,tartan,1,Burton Court,1,Burton Court
1,Greater London,way,5984151,51.6466096,-0.1826621,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,5984640,51.6289619,-0.1686548,sports_centre,sports_centre,tennis,,,Oakleigh Park Lawn Tennis and Squash Club,,,,0,,0,
1,Greater London,way,8104212,51.4293249,-0.0490263,court,pitch,tennis,,,,,,,1,Mayow Park,1,Mayow Park
1,Greater London,way,8681366,51.6438477,-0.0728715,sports_centre,sports_centre,bowls;tennis,social;sport,,Bush Hill Park Club,,,,0,,0,
1,Greater London,way,8681534,51.6463388,-0.0755839,court,pitch,tennis,,,,,,,0,,0,
1,Greater London,way,8681680,51.650695,-0.0866603,court,pitch,tennis,,,,,,asphalt,1,Enfield Town Park,1,Enfield Town Park
1,Greater London,way,8879805,51.4729095,-0.0010979,court,pitch,tennis,,customers,,,,asphalt,0,,0,
1,Greater London,way,8885667,51.4220519,-0.0591797,sports_centre,sports_centre,tennis;squash;croquet,sport,,"Sydenham Tennis, Squash and Croquet Club",,,,0,,0,
